CD_MUNICIPIO,Soma - QT_VOTOS
12530,1770
12548,1849
12556,2306
12564,2576
12572,4418
12580,3344
12599,1204
12602,2345
12610,1613
12629,1831
12637,1635
12653,1223
12661,1516
12670,3036
12688,3641
12696,3912
12700,1910
12718,3337
12726,7156
12734,2652
13005,9916
13013,5025
13021,9073
13030,26113
13048,5311
13056,25144
13064,8252
13072,7398
13080,8708
13099,6372
13102,10682
13110,4532
13129,9033
13137,7988
13145,6262
13153,4418
13161,10340
13170,7829
13188,30336
13196,33374
13200,3630
13218,31631
13226,22957
13234,14920
13242,12275
13250,11860
13269,4002
13277,7316
13285,11350
13293,4181
13307,14105
13315,12482
13323,9499
13331,12787
13340,6194
13358,3673
13366,4871
13374,29954
13382,9632
13390,10932
13404,8701
13412,16634
13420,5643
13439,25104
13447,5848
13455,11243
13463,7107
13471,26911
13480,16483
13498,23507
13501,8237
13510,27280
13536,13178
13552,35985
13579,10246
13595,10675
13617,8790
13633,15446
13650,9922
13676,7441
13692,31901
13714,5370
13730,121053
13757,12938
13773,6787
13811,11673
13838,34484
13854,66182
13870,11723
13897,880559
13919,7822
13935,4708
13951,28855
13978,3790
13994,4950
14010,19222
14036,3714
14052,9353
14060,7718
14079,10830
14095,29903
14117,46013
14133,11897
14150,6113
14176,20404
14192,17858
14214,7408
14230,12352
14257,4029
14273,20562
14290,59133
14311,9375
14338,11401
14354,9960
14370,5508
14397,17789
14419,15108
14435,14126
14451,4442
14478,115524
14494,11913
14516,14941
14532,28662
14559,43391
14575,9504
14591,6839
14613,18279
14630,21178
14656,7965
14672,15045
14680,7875
14699,19730
14710,19782
14737,9005
14753,32225
14770,4578
14796,7180
14818,7514
14834,5363
14850,8120
14877,12706
14893,14414
14915,10833
14931,27190
14958,27327
14974,6438
14990,4028
15016,5005
15032,5572
15059,17580
15075,13802
15091,6269
15113,21884
15130,5425
15156,19551
15172,9374
15199,8179
15210,6336
15237,9479
15253,5263
15270,30241
15296,36681
15318,11090
15334,13545
15350,10125
15377,32874
15393,7660
15415,15968
15431,9549
15440,9034
15458,21661
15474,20977
15490,24376
15512,4003
15539,6555
15555,11737
15571,4030
15598,82974
15610,9512
15636,16036
15652,13497
15679,24064
15695,29355
15717,26617
15733,14214
15750,3744
15776,10554
15792,6871
15814,20533
15830,27746
15857,87588
15873,20068
15881,8978
15890,11076
15911,10387
15920,7301
15938,9536
15954,16026
15970,7535
15989,5105
15997,13211
16004,3045
16012,4932
16020,5930
16039,26008
16047,2695
16055,5344
16063,4754
16071,2036
16080,3694
16098,7312
16101,2152
16110,3289
16128,2240
16136,7198
16144,1778
16152,5347
16160,2066
16179,3892
16187,2440
16195,18793
16209,2811
16217,11265
16225,3581
16233,6193
16241,2566
16250,4784
16268,4680
16276,3471
16284,3027
16292,2211
16306,2176
16314,3044
16330,4458
16357,5517
16373,2169
16390,24164
16411,5332
16438,14049
16454,11823
16470,2793
16497,5418
16519,32726
16535,5402
16551,2688
16578,2624
16594,4065
16616,15618
16632,4117
16659,3337
16675,2595
16691,3482
16713,13323
16730,4769
16756,4871
16772,1859
16799,1074
16810,10925
16837,7550
16853,4994
16870,8103
16896,6033
16918,8258
16934,1316
16950,3053
16977,3632
16993,3269
17019,2795
17035,3680
17051,3559
17078,1736
17094,7185
17116,5578
17132,14663
17159,1672
17175,3603
17191,8976
17213,2528
17230,3466
17256,4458
17272,1678
17299,7050
17310,5308
17337,5145
17353,2909
17370,2307
17396,4907
17418,27003
17434,13159
17450,4754
17477,4264
17493,4883
17515,2634
17531,5597
17558,8697
17574,1516
17590,95281
17612,246881
17639,10013
17655,14344
17671,2801
17698,2603
17710,2768
17736,2431
17752,2858
17779,8320
17795,52136
17817,4843
17833,1910
17850,5793
17876,12715
17892,2290
17914,1733
17930,3319
17957,6797
17973,6685
17990,2339
18015,7098
18031,3603
18058,4736
18074,4585
18090,3352
18112,1665
18139,2616
18155,3750
18171,2701
18198,1613
18210,2569
18236,14462
18252,1414
18279,6843
18295,10692
18317,2188
18333,2423
18350,2154
18376,35473
18392,3276
18414,16259
18430,5333
18457,2791
18473,10989
18490,6357
18511,3493
18538,4159
18554,4113
18570,2913
18597,3210
18619,2057
18635,3079
18651,3373
18678,3798
18694,4352
18716,3067
18732,1714
18759,6386
18775,6035
18791,4674
18813,6560
18830,1404
18856,13053
18872,5458
18899,5863
18910,2523
18937,1714
18953,5568
18970,1127
18996,1824
19003,2514
19011,4992
19020,4068
19038,2946
19046,3240
19054,12179
19062,3595
19070,9259
19089,4192
19097,7210
19100,3402
19119,8886
19127,2607
19135,9107
19143,2674
19151,8616
19160,2111
19178,4913
19186,2631
19194,7305
19208,1947
19216,10656
19224,1645
19232,3502
19240,2725
19259,9786
19267,1817
19275,2853
19283,2227
19291,4760
19305,2821
19313,10851
19321,2365
19330,6568
19348,1529
19356,3418
19364,3667
19372,30905
19380,2355
19399,7007
19402,2423
19410,3472
19429,1837
19437,3024
19445,2044
19453,2140
19461,3530
19470,3124
19488,1946
19496,4281
19500,1932
19518,8136
19526,2557
19534,3147
19542,1236
19550,2643
19569,2554
19577,5520
19585,1781
19593,3359
19607,3594
19615,8746
19623,4710
19631,2704
19640,2585
19658,20106
19666,1605
19674,5004
19682,1828
19690,2523
19704,1249
19712,7568
19720,1369
19739,3256
19747,2784
19755,29068
19763,2395
19771,3130
19780,4268
19798,4252
19801,3105
19810,124668
19828,1355
19836,1342
19844,4196
19852,2813
19860,2570
19879,12853
19887,3091
19895,8486
19909,1374
19917,3413
19925,1987
19933,10975
19941,3354
19950,3385
19968,4669
19976,6917
19984,3420
19992,9028
20001,4220
20010,3809
20036,10528
20052,3309
20079,1338
20095,4419
20117,1756
20133,3123
20150,5719
20176,2064
20192,1892
20214,13192
20230,5917
20257,1636
20273,20848
20290,6489
20311,2058
20338,3291
20354,5445
20370,7941
20397,9375
20419,9703
20435,7653
20451,4883
20478,7078
20494,4387
20516,229251
20532,4467
20559,7688
20575,3360
20591,5598
20613,4918
20630,2905
20656,4079
20672,10254
20699,2754
20710,3297
20737,6063
20753,2430
20770,3316
20796,16992
20818,5611
20834,9799
20850,6480
20877,4273
20893,5701
20915,2808
20931,2476
20958,15749
20974,5309
20990,3651
21016,4661
21032,4722
21059,3064
21075,2410
21091,3989
21113,2275
21130,1944
21156,1524
21172,34464
21199,5642
21210,2090
21237,3787
21253,12482
21270,7001
21296,8593
21318,5645
21334,3926
21350,3288
21377,4359
21393,6366
21415,7233
21431,12585
21458,2297
21474,10186
21490,6621
21512,19836
21539,1318
21555,8476
21571,5124
21598,10404
21610,1826
21636,5348
21652,3752
21679,3928
21695,6677
21717,2895
21733,3331
21750,44195
21776,3293
21792,11388
21814,2685
21830,2513
21857,4180
21873,3038
21890,2664
21911,9614
21938,2382
21954,2533
21970,2165
21997,3859
22012,2868
22039,4683
22055,2113
22071,18973
22098,5274
22110,5801
22136,1646
22152,1935
22179,3689
22195,2342
22217,11616
22233,6232
22250,26755
22276,8400
22292,4352
22314,6303
22330,7216
22357,7304
22373,4900
22390,7524
22411,4100
22438,1765
23000,4340
23019,16835
23027,8339
23035,10057
23043,6151
23051,11902
23060,5083
23078,10942
23086,4788
23094,17762
23108,8645
23116,8364
23124,6504
23132,14929
23140,9778
23159,9970
23167,7945
23175,8717
23183,12277
23191,5227
23205,9158
23213,34412
23221,7130
23230,28536
23248,8230
23256,4921
23264,6795
23272,14258
23280,9364
23299,5248
23302,4961
23310,9609
23329,8032
23337,32048
23353,5988
23370,26858
23396,17617
23418,19659
23434,17305
23450,15572
23477,5727
23493,4672
23515,17344
23531,6756
23558,22899
23574,86617
23590,15805
23612,9123
23639,12668
23655,5190
23671,4456
23698,8654
23710,4017
23736,9021
23752,9863
23779,10147
23795,25788
23817,113187
23833,13519
23850,5956
23876,6198
23892,10138
23914,10795
23930,7901
23957,5750
23973,8517
23990,9813
24015,17988
24031,25986
24058,17880
24074,9062
24090,5599
24112,10397
24139,15151
24155,7181
24171,7613
24198,55436
24210,13365
24236,31879
24252,4689
24279,33033
24295,9037
24317,12969
24333,4176
24350,44577
24376,5738
24392,9502
24414,2859
24430,45488
24457,13295
24473,2829
24490,11629
24511,9700
24538,7400
24554,6867
24570,204012
24597,8785
24619,14346
24635,7152
24651,8003
24678,6783
24694,9490
24716,6778
24732,6821
24759,16510
24775,25468
24791,9524
24813,6270
24830,4040
24856,6904
24872,24360
24899,12750
24910,144847
24937,10941
24953,7303
24970,30469
24996,21111
