fid,CD_MUN,NM_MUN,SIGLA,tot_13_22,porcent_13,porcent_22,normal_13_22,tot_13,tot_22,subt_13_22
306,"1600501",Oiapoque,AP,13238,67.1173893337362,32.8826106662638,0.342347786674724,8885,4353,4532
307,"1600535",Porto Grande,AP,9568,57.5877926421405,42.4122073578595,0.151755852842809,5510,4058,1452
308,"1600550",Pracuúba,AP,2891,57.4195780006918,42.5804219993082,0.148391560013836,1660,1231,429
309,"1600600",Santana,AP,76552,52.5316124986937,47.4683875013063,0.050632249973874,40214,36338,3876
310,"1600709",Tartarugalzinho,AP,7517,60.1436743381668,39.8563256618332,0.202873486763336,4521,2996,1525
311,"1600808",Vitória do Jari,AP,7246,69.8316312448247,30.1683687551753,0.396632624896495,5060,2186,2874
312,"1700251",Abreulândia,TO,1788,58.8366890380313,41.1633109619687,0.176733780760626,1052,736,316
313,"1700301",Aguiarnópolis,TO,2828,65.8415841584158,34.1584158415842,0.316831683168317,1862,966,896
314,"1700350",Aliança do Tocantins,TO,3057,56.7549885508669,43.2450114491331,0.135099771017337,1735,1322,413
315,"1700400",Almas,TO,3654,69.6770662287904,30.3229337712096,0.393541324575807,2546,1108,1438
316,"1700707",Alvorada,TO,99654,52.9552250787725,47.0447749212274,0.0591045015754511,52772,46882,5890
317,"1701002",Ananás,TO,5309,62.7613486532304,37.2386513467696,0.255226973064607,3332,1977,1355
318,"1701051",Angico,TO,1911,60.596546310832,39.403453689168,0.211930926216641,1158,753,405
319,"1701101",Aparecida do Rio Negro,TO,3073,57.9238529124634,42.0761470875366,0.158477058249268,1780,1293,487
320,"1701309",Aragominas,TO,3391,64.9071070480684,35.0928929519316,0.298142140961368,2201,1190,1011
321,"1701903",Araguacema,TO,3399,66.1959399823478,33.8040600176522,0.323918799646955,2250,1149,1101
322,"1702000",Araguaçu,TO,4633,31.2972156270235,68.7027843729765,-0.374055687459529,1450,3183,-1733
323,"1702109",Araguaína,TO,84064,43.1349923867529,56.8650076132471,-0.137300152264941,36261,47803,-11542
324,"1702158",Araguanã,TO,8140,72.5552825552825,27.4447174447174,0.451105651105651,5906,2234,3672
325,"1702208",Araguatins,TO,15286,60.5652230799424,39.4347769200576,0.211304461598849,9258,6028,3230
326,"1702307",Arapoema,TO,3387,58.458813108946,41.541186891054,0.169176262178919,1980,1407,573
327,"1702406",Arraias,TO,5412,74.8521803399852,25.1478196600148,0.497043606799704,4051,1361,2690
328,"1702554",Augustinópolis,TO,9227,61.5909829847188,38.4090170152812,0.231819659694375,5683,3544,2139
329,"1702703",Aurora do Tocantins,TO,2211,67.0284938941655,32.9715061058345,0.340569877883311,1482,729,753
330,"1702901",Axixá do Tocantins,TO,6630,61.5987933634992,38.4012066365008,0.231975867269985,4084,2546,1538
331,"1703008",Babaçulândia,TO,4880,70.0614754098361,29.9385245901639,0.401229508196721,3419,1461,1958
332,"1703057",Bandeirantes do Tocantins,TO,2099,49.7379704621248,50.2620295378752,-0.00524059075750351,1044,1055,-11
333,"1703073",Barra do Ouro,TO,2676,67.7130044843049,32.2869955156951,0.354260089686099,1812,864,948
334,"1703107",Barrolândia,TO,3381,54.5400769003254,45.4599230996747,0.090801538006507,1844,1537,307
335,"1703206",Bernardo Sayão,TO,2573,49.6696463272445,50.3303536727555,-0.00660707345511078,1278,1295,-17
336,"1703305",Bom Jesus do Tocantins,TO,10486,56.7423230974633,43.2576769025367,0.134846461949266,5950,4536,1414
337,"1703602",Brasilândia do Tocantins,TO,1409,60.3974449964514,39.6025550035486,0.207948899929028,851,558,293
338,"1703701",Brejinho de Nazaré,TO,2927,57.3624871882474,42.6375128117527,0.147249743764947,1679,1248,431
339,"1703800",Buriti do Tocantins,TO,4795,62.252346193952,37.747653806048,0.245046923879041,2985,1810,1175
340,"1703826",Cachoeirinha,TO,83993,48.7504911123546,51.2495088876454,-0.024990177752908,40947,43046,-2099
341,"1703842",Campos Lindos,TO,4699,68.3124068950841,31.6875931049159,0.366248137901681,3210,1489,1721
342,"1703867",Cariri do Tocantins,TO,2632,53.6854103343465,46.3145896656535,0.0737082066869301,1413,1219,194
343,"1703883",Carmolândia,TO,1737,63.2124352331606,36.7875647668394,0.264248704663213,1098,639,459
344,"1703891",Carrasco Bonito,TO,2273,68.3238011438627,31.6761988561373,0.366476022877255,1553,720,833
345,"1703909",Caseara,TO,2869,63.2624607877309,36.7375392122691,0.265249215754618,1815,1054,761
346,"1704105",Centenário,TO,3567,55.8452481076535,44.1547518923465,0.11690496215307,1992,1575,417
347,"1704600",Chapada de Areia,TO,1698,51.8845700824499,48.1154299175501,0.0376914016489988,881,817,64
348,"1705102",Chapada da Natividade,TO,2029,77.9201577131592,22.0798422868408,0.558403154263184,1581,448,1133
349,"1705508",Colinas do Tocantins,TO,17009,43.8356164383562,56.1643835616438,-0.123287671232877,7456,9553,-2097
350,"1705557",Combinado,TO,2750,53.2727272727273,46.7272727272727,0.0654545454545455,1465,1285,180
351,"1705607",Conceição do Tocantins,TO,2242,76.6280107047279,23.3719892952721,0.532560214094559,1718,524,1194
352,"1706001",Couto Magalhães,TO,3232,64.7277227722772,35.2722772277228,0.294554455445545,2092,1140,952
353,"1706100",Cristalândia,TO,4019,57.1037571535208,42.8962428464792,0.142075143070416,2295,1724,571
354,"1706258",Crixás do Tocantins,TO,1242,57.085346215781,42.914653784219,0.14170692431562,709,533,176
355,"1706506",Darcinópolis,TO,3056,65.0523560209424,34.9476439790576,0.301047120418848,1988,1068,920
356,"1707009",Dianópolis,TO,9170,66.8047982551799,33.1952017448201,0.336095965103599,6126,3044,3082
357,"1707108",Divinópolis do Tocantins,TO,4020,62.363184079602,37.636815920398,0.24726368159204,2507,1513,994
