fid,CD_MUN,NM_MUN,SIGLA,porcent_nulo_e_branco,13_Soma - QT_VOTOS,22_Soma - QT_VOTOS,branco_Soma - QT_VOTOS,nulo_Soma - QT_VOTOS,porcent_13,porcent_22,normal_13_22,subt_13_22
57,"1200179",Capixaba,AC,1.62162162162162,1497,3963,34,56,27.4175824175824,72.5824175824176,-0.451648351648352,-2466
58,"1200203",Cruzeiro do Sul,AC,2.61521922034215,9733,31936,473,646,23.3578919580503,76.6421080419497,-0.532842160838993,-22203
59,"1200252",Epitaciolândia,AC,1.95179180887372,2464,6729,78,105,26.8030022843468,73.1969977156532,-0.463939954313064,-4265
60,"1200302",Feijó,AC,3.35147522199943,7113,6383,134,334,52.7045050385299,47.2954949614701,0.0540901007705988,730
61,"1200328",Jordão,AC,2.54140491147915,1980,1433,24,65,58.0134778786991,41.9865221213009,0.160269557573982,547
62,"1200336",Mâncio Lima,AC,2.0481144343303,2708,6331,82,107,29.9590662683925,70.0409337316075,-0.40081867463215,-3623
63,"1200344",Manoel Urbano,AC,2.39272295827566,2047,2889,30,91,41.4708265802269,58.5291734197731,-0.170583468395462,-842
64,"1200351",Marechal Thaumaturgo,AC,2.55248451895484,2742,3710,47,122,42.4984500929944,57.5015499070056,-0.150030998140112,-968
65,"1200385",Plácido de Castro,AC,2.29236263103329,2306,6176,83,116,27.1869842018392,72.8130157981608,-0.456260315963216,-3870
66,"1200393",Porto Walter,AC,3.46257010485247,2093,1866,65,77,52.866885577166,47.133114422834,0.0573377115433191,227
67,"1200401",Rio Branco,AC,3.07402387994737,53873,142090,2727,3488,27.4914141955369,72.5085858044631,-0.450171716089262,-88217
68,"1200427",Rodrigues Alves,AC,1.58186132349064,1455,6011,51,69,19.4883471738548,80.5116528261452,-0.610233056522904,-4556
69,"1200435",Santa Rosa do Purus,AC,3.34020618556701,1217,1127,17,64,51.919795221843,48.080204778157,0.0383959044368601,90
70,"1200450",Senador Guiomard,AC,2.50379362670713,3338,9512,161,169,25.9766536964981,74.023346303502,-0.480466926070039,-6174
71,"1200500",Sena Madureira,AC,2.04533473906168,4976,13606,151,237,26.7786029490905,73.2213970509095,-0.46442794101819,-8630
72,"1200609",Tarauacá,AC,2.87655303262134,6802,9067,175,295,42.8634444514462,57.1365555485538,-0.142731110971076,-2265
73,"1200708",Xapuri,AC,2.34995586937334,3634,5217,56,157,41.0575076262569,58.9424923737431,-0.178849847474862,-1583
74,"1200807",Porto Acre,AC,1.81174089068826,2317,7384,66,113,23.8841356561179,76.1158643438821,-0.522317286877642,-5067
75,"1300029",Alvarães,AM,4.18593620301198,5978,2102,31,322,73.9851485148515,26.0148514851485,0.47970297029703,3876
76,"1300060",Amaturá,AM,5.92826612153875,3880,1182,27,292,76.6495456341367,23.3504543658633,0.532990912682734,2698
77,"1300086",Anamã,AM,3.90430304037216,3733,2051,50,185,64.5401106500692,35.4598893499308,0.290802213001383,1682
78,"1300102",Anori,AM,4.73228772309356,4010,3036,52,298,56.9117229633835,43.0882770366165,0.13823445926767,974
79,"1300144",Apuí,AM,3.5785536159601,2809,4924,46,241,36.3248415879995,63.6751584120005,-0.27350316824001,-2115
80,"1300201",Atalaia do Norte,AM,4.57688508396444,4660,1136,22,256,80.40027605245,19.59972394755,0.608005521048999,3524
81,"1300300",Autazes,AM,5.15725145327172,12283,6806,129,909,64.3459584053643,35.6540415946357,0.286919168107287,5477
82,"1300409",Barcelos,AM,5.48528824390893,4616,2483,31,381,65.0232427102409,34.9767572897591,0.300464854204818,2133
83,"1300508",Barreirinha,AM,3.88670534655936,14079,1327,47,576,91.3864728028041,8.6135271971959,0.827729456056082,12752
84,"1300607",Benjamin Constant,AM,5.22105013630437,13370,2623,91,790,83.5990745951354,16.4009254048646,0.671981491902707,10747
85,"1300631",Beruri,AM,5.10113358524116,5381,3158,61,398,63.0167466916501,36.9832533083499,0.260334933833001,2223
86,"1300680",Boa Vista do Ramos,AM,3.62397230636088,7837,1072,44,291,87.9672241553485,12.0327758446515,0.75934448310697,6765
87,"1300706",Boca do Acre,AM,5.67216694976947,7050,8499,145,790,45.3405363688983,54.6594636311017,-0.0931892726220336,-1449
88,"1300805",Borba,AM,4.39191252825118,12371,3281,89,630,79.0378226424738,20.9621773575262,0.580756452849476,9090
89,"1300839",Caapiranga,AM,4.17469492614001,3988,1980,40,220,66.8230563002681,33.1769436997319,0.336461126005362,2008
90,"1300904",Canutama,AM,4.97803806734993,3539,2951,49,291,54.5300462249615,45.4699537750385,0.0906009244992296,588
91,"1301001",Carauari,AM,5.2817619468425,10998,2936,125,652,78.9292378355103,21.0707621644897,0.578584756710205,8062
92,"1301100",Careiro,AM,5.68250881244682,9949,5570,139,796,64.1085121464012,35.8914878535988,0.282170242928024,4379
93,"1301159",Careiro da Várzea,AM,5.06759629283224,6982,4183,84,512,62.5347066726377,37.4652933273623,0.250694133452754,2799
94,"1301209",Coari,AM,4.63541362601436,19841,12829,229,1359,60.7315580042853,39.2684419957147,0.214631160085706,7012
95,"1301308",Codajás,AM,4.03437358661239,6403,4206,51,395,60.3544160618343,39.6455839381657,0.207088321236686,2197
96,"1301407",Eirunepé,AM,6.99762344864009,10435,3653,173,887,74.0701306076093,25.9298693923907,0.481402612152186,6782
97,"1301506",Envira,AM,7.17772793244491,5064,1971,107,437,71.9829424307036,28.0170575692964,0.439658848614072,3093
98,"1301605",Fonte Boa,AM,4.7032083224058,8421,2480,54,484,77.2497935969177,22.7502064030823,0.544995871938354,5941
99,"1301654",Guajará,AM,4.99869825566259,2891,4407,62,322,39.6135927651411,60.3864072348589,-0.207728144697177,-1516
100,"1301704",Humaitá,AM,3.72066163428619,12406,10935,178,724,53.1511074932522,46.8488925067478,0.0630221498650443,1471
101,"1301803",Ipixuna,AM,8.1888745148771,4833,2264,91,542,68.0991968437368,31.9008031562632,0.361983936874736,2569
102,"1301852",Iranduba,AM,4.82137373323779,15304,12590,239,1174,54.8648454864845,45.1351545135155,0.0972969097296909,2714
103,"1301902",Itacoatiara,AM,4.11825182828655,31621,17807,418,1705,63.973860969491,36.026139030509,0.27947721938982,13814
104,"1301951",Itamarati,AM,5.49190043461083,3678,1106,31,247,76.88127090301,23.11872909699,0.537625418060201,2572
105,"1302009",Itapiranga,AM,3.81838600994706,3538,2457,30,208,59.0158465387823,40.9841534612177,0.180316930775646,1081
106,"1302108",Japurá,AM,5.53385416666667,1774,1128,27,143,61.1302549965541,38.8697450034459,0.222605099931082,646
107,"1302207",Juruá,AM,6.97072296355308,2870,1801,67,283,61.4429458360094,38.5570541639906,0.228858916720188,1069
108,"1302306",Jutaí,AM,6.68992407141391,6872,2222,89,563,75.5663074554651,24.4336925445349,0.511326149109303,4650
109,"1302405",Lábrea,AM,4.9424616853158,11683,6242,115,817,65.1771269177127,34.8228730822873,0.303542538354254,5441
110,"1302504",Manacapuru,AM,4.76425709424228,28386,23667,431,2173,54.5328799492825,45.4671200507175,0.0906575989856493,4719
111,"1302553",Manaquiri,AM,5.18726216703385,6562,2906,57,461,69.3071398394592,30.6928601605408,0.386142796789185,3656
112,"1302603",Manaus,AM,5.0952472515708,437691,692580,15701,44981,38.7244298048875,61.2755701951125,-0.22551140390225,-254889
113,"1302702",Manicoré,AM,3.22876307128276,15172,8056,116,659,65.3177199931118,34.6822800068882,0.306354399862235,7116
114,"1302801",Maraã,AM,4.81576067128785,3785,1433,36,228,72.537370640092,27.462629359908,0.45074741280184,2352
115,"1302900",Maués,AM,3.80436898874654,21003,3701,123,854,85.0186204663213,14.9813795336788,0.700372409326425,17302
116,"1303007",Nhamundá,AM,3.21199143468951,8939,1457,57,288,85.9849942285494,14.0150057714506,0.719699884570989,7482
117,"1303106",Nova Olinda do Norte,AM,4.86570939662228,10114,2673,92,562,79.0959568311566,20.9040431688434,0.581919136623133,7441
118,"1303205",Novo Airão,AM,4.18790968681719,4166,3727,46,299,52.7809451412644,47.2190548587356,0.0556189028252882,439
119,"1303304",Novo Aripuanã,AM,4.29235593037085,6747,2105,50,347,76.2200632625395,23.7799367374605,0.524401265250791,4642
120,"1303403",Parintins,AM,3.46027376309551,41689,8809,382,1428,82.5557447819716,17.4442552180284,0.651114895639431,32880
